id,name,street,phone,comment,x_studio_sales_rep
2492,Aaliya auto care,"Agam Kuan near overbridge,kankarbagh,Patna-20",+91 87094 21939,Lubricants used-SAVSOL(for best margin) buying price -230Market visit for spare and Mobil one time a week Used genuine and local product both on customers call Buy local product at 30% on MK and suprajit on 40%Lubricant used in a month Around 100litres weekly order for spare and lubes around 10k,Satyam
2437,Ajay service centre,"Near st Joseph school,Bhagwat nagar,kankarbagh,patna-26",+91 97714 94672,"Lubes used-Veedol,Castrol,Motul etcMarket visit - 2-3 timesDirectly from veedol distributor 70-80 bottles Mobil used",Satyam
2460,Aman bike service centre,"Khemnichak more,kankarbagh,Patna-20",+91 79090 09103,"Lubricants used-Castrol ,MotulMarket visit for spare and Mobil-5-10times Used genuine and local product both Buy local product at 35 %Lubricant used in a week-25-30 bottlesDaily order for spare and lubes-₹5000",Satyam
2516,Anil Motorcycle workshop,"Khaderan singh,near naka road,kankarbagh patna-20",+91 93349 75912,Takes rate on Motul all lubricants. And they will call after read the rates spare parts only use genuine,Satyam
2462,Baba service centre,"Jaganpura more ,kankarbagh patna -27",+91 87892 06974,N/A,Satyam
2518,Baba sidhnath repairing workshop,"Saidpur road,bikhna pahari,kankarbagh patna-20",+91 62058 71200,"Lubes used- only valvoline as mentioed by garage owner Spare parts used like Ask,steelbird,Mk but didn’t disclose offer Unhone bola ki hum aapse baat krenge order ke liye",Satyam
2426,Bhola servicing centre,"Opposite Daud bigha kabrishtan,bhootnath more",+91 76670 36535,N/A,Satyam
2450,Bike repairing centre,"Khumarar near Bapu exam parishar,kankarbagh,patna -20",+91 89692 25748,"Market visit-1-2timesLubricants used -Motul,savsol(Castrol not used)One day 3000 parts and lubricants order bymarket",Satyam
2451,Dablu bike service centre,"Near Bapu exam parishad,Khumrar road ,Patna-20",+91 70335 86557,"Lubricants -Castrol,Motul One day visit -1-2time(stock holder)One day order = 3000-4000 parts and movil They buy castrol 1Litres ₹(340) as discussed by his brother",Satyam
2495,Dhananjay motorcycle servicing centre,"Defence Colony,Ashok nagar,kankarbagh,Patna-20",+91 85074 81333,Lune,Satyam
2517,Dinesh auto parts,"Near daldali road,Bakarganj,kankarbagh patna-20",+91 98354 95205,Used local Mobil at 60% Margin and spare parts market jaake lete hai original (magadh agency) se agar kisi customer ko Castrol ya Motul chahiye rhta hai toh woh khud market se laate h….. unhone bola ki hume koi jarjarit hoga toh jrur contact krenge,Satyam
2472,Hero Honda service centre,"Chowk nayi sadak ,Patna city,Patna -800008",+91 93080 68162,Lubricants used-Castrol (Motul use only on customer call)Market visit for spare and Mobil-4-5times a day Used genuine and local both Didn’t Buy local productLubricant used in a day 2-3 bottle Daily order for spare and lubes-₹3000-4000,Satyam
2468,Jai maa shitla roushan motorcycle service centre,"Choti pahari ,near big hospital,kankarbagh,Patna-7",+91 76678 40029,"Lubricants used-Castrol,Motul and local brands Market visit for spare and Mobil-4-5 times Used genuine and local product both Buy local product at 10%(suprajit)15%Lubricant used in a month-25-30Daily order for spare and lubes-₹500-1000",Satyam
2515,Laxmi motorcycle repairing centre,"Vaishali goalmbar,opposite pramod laddu ,kankarbagh patna -20",+91 80025 31298,"I spoke directly with the owner, and he mentioned that customers usually bring their own lubricants and spare parts since there’s a shop right next door. However, he ensures that only original spare parts are used.He also shared that they purchase Castrol (1 litre) at ₹400 and Valvoline (1 litre) at ₹380.He’s personally invited me to meet him on 15th November to discuss further opportunities.",Satyam
2488,Lucky automobiles,"Ambedkar chowk,Hanuman nagar,kankarbagh patna -20",+91 79923 40633,wp no-9386004700Lubes used-Castrol power 20w50 and Motul used Local me MK and clutch plate me 25-30%Chain sprocket me genuine used,Satyam
2486,Maa Durga servicing centre,"Beside panchmandir ,kankarbagh,Patna-20",+91 97980 98936,"Lubes-Castrol and Motul Local and genuine used Local -suprajit,mk(breakshoe)Individual buyer",Satyam
2430,Maa Laxmi automobile,"Near Krishna Niketan school,jakariyapur,Patna -7",+91 97097 88833,"Lubricants used-Castrol,Motul ,(mostly used varroc mostly )Visit market-5-6 times Average lunricants used in a week -20-30boxesParts -genuine and local both (mk) and fcc used",Satyam
2466,Maa vaishnavi repair and servicing centre,"Near ford hospital,kankarbagh Patna-20",+91 80022 49103,"Lubricants used- Castrol,Motul,hero Market visit for spare and Mobil-5-6 average bahar nahi jaate nahi hai Used genuine and local product both Buy local product at 30%Lubricant used in a month-40 litres depends upon market Daily order for spare and lubes-₹1000-2000Local-MIndia,mk(soccer endurance)buy at 30%Ask pe-250mrp buying ,90-95",Satyam
2485,Maa vaishnavi repairing center,"Shivaji park k piche wali gali me ,Patna-800020",+91 95046 31642,Castrol buying rate -385On suprajit -35%Honda-15%Hero,Satyam
2496,Manish servicing centre,"Beside Palika Vinayak hospital,kankarbagh,Patna-20",+91 63826 90825,Lives used-Castrol and savsolSuprajit pe 25%and mk pe 25%Savsol buying rate -240 for 900 ml,Satyam
2413,Mukesh Automobiles,"Vijay Nagar road, near nbcc tower,Patna-26",+91 72504 44291,"Lubricants used-Castrol,veedol,valvoline,Motul Bulk buyer mostly deal in credit deals also in other spare brands",Satyam
